13C,1H,Intensity
124.970001220703, 7.0013728141784695, 5899.3310546875
120.94000244140601, 7.01833057403564, 7049.52197265625
120.840003967285, 7.1586208343505895, 7918.19921875
118.61000061035101, 7.500347137451169, 7816.4326171875
111.779998779296, 7.33748435974121, 8786.8759765625
106.16999816894501, 6.285818576812741, 6181.11083984375
63.7999992370605, 3.7069725990295397, -34429.1640625
63.7999992370605, 3.70018362998962, -21969.025390625
60.899997711181605, 3.8556151390075697, 14446.4580078125
56.2299995422363, 4.667150497436519, 8793.044921875
53.8900032043457, 4.03125, 7546.6787109375
49.2600021362305, 4.52132368087769, 4725.568359375
41.5399971008301, 4.63254261016846, -5899.25732421875
41.5399971008301, 4.440219402313231, -4138.7685546875
39.7400016784668, 1.96499979496002, 6168.90869140625
33.8600006103516, 3.2590091228485094, -9757.615234375
33.8600006103516, 3.0572278499603303, -10728.3544921875
29.399999618530302, 3.2249999046325697, -7828.4365234375
29.399999618530302, 2.8499999046325697, -5492.23095703125
28.280000686645497, 1.6715521812438998, -5545.47998046875
28.280000686645497, 1.59851682186127, -6326.453125
