13C,1H,Intensity
150.600006103516, 7.528305530548099, 6145.40576171875
127.75, 7.33500003814697, 8747.306640625
125.100006103515, 7.32000017166138, 9737.830078125
123.700004577636, 8.53999996185303, 6145.40576171875
122.0, 7.94000005722046, 8772.2216796875
108.5, 7.46000003814697, 7806.6123046875
84.3000030517578, 5.528943061828611, 5278.017578125
76.6999969482422, 4.59000015258789, 6841.14990234375
76.5499954223633, 5.22908306121826, 8747.306640625
55.5499992370605, 3.9600000381469704, 17626.83984375
53.4500007629395, 3.0615034103393595, -9737.830078125
53.4500007629395, 2.73055672645569, -7756.93359375
46.7000007629395, 3.30636358261108, 8600.8564453125
36.7999992370605, 2.58999991416931, -6987.81005859375
36.7999992370605, 2.2804348468780495, -6987.81005859375
23.900001525878896, 2.1968748569488503, 28993.8125
20.6000003814697, 2.1800000667572, 19419.828125
19.9500007629395, 2.66000008583069, 14041.138671875
17.2000007629395, 1.5420708656311002, 15834.107421875
