13C,1H,Intensity
132.3, 7.51, 1.0
114.2, 6.66, 1.0
129.8, 7.53, 1.0
31.4, 3.21, -1.0
31.4, 2.8, -1.0
49.0, 4.08, 1.0
34.1, 1.53, -1.0
28.1, 2.08, -1.0
28.1, 1.95, -1.0
20.9, 1.51, 1.0
18.9, 1.5, 1.0
20.2, 1.5, 1.0
74.4, 3.52, -1.0
74.4, 3.4, -1.0
58.4, 3.24, 1.0
121.0, 7.58, 1.0
23.2, 3.56, -1.0
23.2, 3.29, -1.0
73.0, 4.35, 1.0
52.6, 3.25, 1.0
