6917794	6917794	100
6917794	23446092	42
6917794	11957706	66
6917794	3024	1
6917794	7839	5
6917794	14503990	33
6917794	50899958	36
6917794	50899958	36
6917794	456387	31
6917794	21774505	35
6917794	495221	35
6917794	137843	5
6917794	74051368	24
6917794	71442208	15
6917794	562564	28
6917794	562564	28
6917794	163137014	27
6917794	12574163	29
6917794	78167205	25
6917794	5245928	15
6917794	76445682	28
6917794	73836307	29
6917794	73836011	27
6917794	54004088	29
6917794	54004088	29
6917794	163111517	29
6917794	1658	33
6917794	76032547	32
6917794	139291438	32
6917794	74051758	32
6917794	1665	30
6917794	1665	30
6917794	7746	14
6917794	73837799	34
6917794	73836985	31
6917794	78063566	47
6917794	2999	40
6917794	2999	40
6917794	4542	36
6917794	4542	36
6917794	4542	36
6917794	74052102	22
6917794	85160675	29
6917794	85160675	29
6917794	85160675	29
6917794	73818194	27
6917794	73818194	27
6917794	73818194	27
6917794	73818194	27
6917794	163113314	29
6917794	74408267	27
6917794	74408267	27
6917794	74408267	27
6917794	73880872	25
6917794	72738632	27
6917794	163086579	22
6917794	72835532	30
6917794	72835532	30
6917794	163112700	26
6917794	85111538	31
6917794	75059738	37
6917794	163111962	71
6917794	163143450	24
6917794	85246748	43
6917794	85246705	45
6917794	85246705	45
6917794	85246705	45
6917794	72756313	28
6917794	70696939	47
6917794	13658161	53
6917794	162992515	68
6917794	73193672	40
6917794	582240	49
6917794	13994061	34
6917794	102341997	35
6917794	372629	52
6917794	620391	62
6917794	73719330	50
6917794	5491947	40
6917794	5491947	40
6917794	163192253	42
6917794	85069478	37
6917794	71717803	40
6917794	73837908	41
6917794	558826	26
6917794	81184	19
6917794	81184	19
6917794	4486397	26
6917794	23072575	4
6917794	67521	2
6917794	23247411	22
6917794	229991	12
6917794	72806189	26
6917794	163018969	23
6917794	75288294	29
6917794	75288194	33
6917794	76523873	30
6917794	75309315	30
6917794	76513685	31
6917794	162942822	34
6917794	76381886	35
6917794	14543678	34
6917794	73019604	36
6917794	163078903	31
6917794	73837566	34
6917794	73321786	34
6917794	74080759	53
6917794	74202894	33
6917794	162858705	31
6917794	74376544	28
6917794	74376545	28
6917794	163090425	30
6917794	162853686	36
6917794	14191237	37
6917794	496073	38
6917794	496073	38
6917794	162995364	32
6917794	163111326	25
